"professorName","department","sourceSystem","sourceUrl","externalId","averageRating","reviewCount","difficultyRating","wouldTakeAgainPercent","capturedAt"
"Aubrey F. Mendonca","Food Science and Human Nutrition","RATE_MY_PROFESSORS","","","","","","",""
"Aude Watrelot","Food Science and Human Nutrition","RATE_MY_PROFESSORS","","","","","","",""
"Auriel Willette","Food Science and Human Nutrition","RATE_MY_PROFESSORS","","","","","","",""
"Austin Dunn","Landscape Architecture","RATE_MY_PROFESSORS","","","","","","",""
"Austin Stewart","Art and Visual Culture","RATE_MY_PROFESSORS","","","","","","",""
"Awoke Desta Dollisso","Agricultural Education and Studies","RATE_MY_PROFESSORS","","","","","","",""
"Ayman Adel Fayed","Electrical and Computer Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Ayodele Iyanalu","Architecture","RATE_MY_PROFESSORS","","","","","","",""
"Azadeh Sheidaei","Aerospace Engineering","RATE_MY_PROFESSORS","","","","","","",""
"B. Ganapathysubramanian","Mechanical Engineering; Professor of Electrical and Computer Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Bai Cui","Electrical and Computer Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Bailey Adams","Agricultural and Biosystems Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Balaji Narasimhan","Chemical and Biological Engineering; Anson Marston Distinguished Professor in Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Bambi L. Yost","Landscape Architecture","RATE_MY_PROFESSORS","","","","","","",""
"Barbara A. Caldwell","Art and Visual Culture; Professor of School of Education","RATE_MY_PROFESSORS","","","","","","",""
"Barbara A. Ching","English","RATE_MY_PROFESSORS","","","","","","",""
"Barbara A. Woods","Human Development and Family Studies","RATE_MY_PROFESSORS","","","","","","",""
"Barbara F. Matthies","English","RATE_MY_PROFESSORS","","","","","","",""
"Barbara Jane Bruene","Art and Visual Culture","RATE_MY_PROFESSORS","","","","","","",""
"Barbara Jean Blakely","English","RATE_MY_PROFESSORS","","","","","","",""
"Barbara Joyce Walton","Art and Visual Culture","RATE_MY_PROFESSORS","","","","","","",""
"Barbara L. Haas","English","RATE_MY_PROFESSORS","","","","","","",""
"Barbara L. Licklider","School of Education; University Professor","RATE_MY_PROFESSORS","","","","","","",""
"Barbara Loureiro","Veterinary Diagnostic and Production Animal Medicine","RATE_MY_PROFESSORS","","","","","","",""
"Barbara Schwarte","English","RATE_MY_PROFESSORS","","","","","","",""
"Barry L. Falk","Economics","RATE_MY_PROFESSORS","","","","","","",""
"Basil J. Nikolau","Biochemistry, Biophysics, and Molecular Biology","RATE_MY_PROFESSORS","","","","","","",""
"Beate Schmittmann","Physics and Astronomy; Emerita","RATE_MY_PROFESSORS","","","","","","",""
"Beatriz De Castro Sebastiao","Marketing","RATE_MY_PROFESSORS","","","","","","",""
"Beena Ajmera","Civil, Construction, and Environmental Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Behrouz Shafei-Pamsari","Civil, Construction, and Environmental Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Ben Van Dusen","School of Education","RATE_MY_PROFESSORS","","","","","","",""
"Benjamin Blakely","Electrical and Computer Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Benjamin Burke","Earth, Atmosphere, and Climate","RATE_MY_PROFESSORS","","","","","","",""
"Benjamin Johnson","Earth, Atmosphere, and Climate","RATE_MY_PROFESSORS","","","","","","",""
"Benjamin Shirtcliff","Landscape Architecture","RATE_MY_PROFESSORS","","","","","","",""
"Benjamin Withers","History","RATE_MY_PROFESSORS","","","","","","",""
"Berk Gulmezoglu","Electrical and Computer Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Bernard Canniffe","Graphic Design","RATE_MY_PROFESSORS","","","","","","",""
"Bernard J. White","Biochemistry, Biophysics, and Molecular Biology; University Professor","RATE_MY_PROFESSORS","","","","","","",""
"Bernard Lidicky","Mathematics","RATE_MY_PROFESSORS","","","","","","",""
"Bert Lynn Jones","Agricultural Education and Studies","RATE_MY_PROFESSORS","","","","","","",""
"Bertan Turhan","Economics","RATE_MY_PROFESSORS","","","","","","",""
"Beth Ann Martin","World Languages and Cultures","RATE_MY_PROFESSORS","","","","","","",""
"Beth Lin Hartmann","Civil, Construction, and Environmental Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Bethany Ekle Gray","English","RATE_MY_PROFESSORS","","","","","","",""
"Betty A. Dobratz","Sociology and Criminal Justice; Emerita Professor of Political Science","RATE_MY_PROFESSORS","","","","","","",""
"Betty Lynn Wells","Sociology and Criminal Justice","RATE_MY_PROFESSORS","","","","","","",""
"Beverly S. Madden","Food Science and Human Nutrition","RATE_MY_PROFESSORS","","","","","","",""
"Beverlyn Lundy Allen","Sociology and Criminal Justice","RATE_MY_PROFESSORS","","","","","","",""
"Bianca A. Zaffarano","Veterinary Clinical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Bill Mahanna","Animal Science","RATE_MY_PROFESSORS","","","","","","",""
"Bin Li","Industrial and Manufacturing Systems Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Bing Yang","Genetics, Development, and Cell Biology","RATE_MY_PROFESSORS","","","","","","",""
"Bing-Lin Young","Physics and Astronomy","RATE_MY_PROFESSORS","","","","","","",""
"Biswa Das","Urban Planning and Development","RATE_MY_PROFESSORS","","","","","","",""
"Bonar Hern??ndez","History","RATE_MY_PROFESSORS","","","","","","",""
"Bong Wie","Aerospace Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Bonnie Bowen","Ecology, Evolution, and Organismal Biology","RATE_MY_PROFESSORS","","","","","","",""
"Bonnie Hay Kraus","Veterinary Clinical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Boris Jovanovic","Ecology, Evolution, and Organismal Biology","RATE_MY_PROFESSORS","","","","","","",""
"Borivoj Martinic-Jercic","Music and Theatre","RATE_MY_PROFESSORS","","","","","","",""
"Bosuk Hur","Practice, Architecture","RATE_MY_PROFESSORS","","","","","","",""
"Bowen Weng","Computer Science","RATE_MY_PROFESSORS","","","","","","",""
"Boyce Chang","Materials Science and Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Brad Edward Dell","Music and Theatre","RATE_MY_PROFESSORS","","","","","","",""
"Brad Richard Skaar","Animal Science","RATE_MY_PROFESSORS","","","","","","",""
"Brad S. Coates","Plant Pathology, Entomology, and Microbiology","RATE_MY_PROFESSORS","","","","","","",""
"Brad Trinkle","Accounting","RATE_MY_PROFESSORS","","","","","","",""
"Bradley A. Miller","Agronomy","RATE_MY_PROFESSORS","","","","","","",""
"Bradley J. Blitvich","Veterinary Microbiology and Preventive Medicine; B.Sc., 1990, B.Sc., 1991, Ph.D., 1996, Western Australia","RATE_MY_PROFESSORS","","","","","","",""
"Bradley S. Perkins","Civil, Construction, and Environmental Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Brandon L. Sams","English","RATE_MY_PROFESSORS","","","","","","",""
"Brandon Mueller","Management and Entrepreneurship","RATE_MY_PROFESSORS","","","","","","",""
"Brandon Olsen","Graphic Design","RATE_MY_PROFESSORS","","","","","","",""
